# Every wire in the study, scored by NEC-2 (tools/nec_search.py).
# Workable = NEC gain >= 1.02 dBi (study -5 dBi + 6.02 dB ground reflection). Bands modelled at the wire's own resonances; see data/nec-resonances.json.
# ana_* = the analytic scores the study used before, for comparison.
nec_rank3,key,family,model,feed_ft,nec3_cells,nec3_regions,nec3_dBi,nec3_worst,nec_rank2,nec2_cells,nec2_dBi,ana_rank3,ana3_cells,ana3_dBi,ana_rank2,ana2_cells,max_anchor_ft,parcel,aliases,label
1,NR-SL1,sloper,"slant (§9, LOW)",25,52,24,2.37,-9.5,1,35,2.19,62,43,-0.51,58,26,69,"tree top 81 ft past the south line","NR2-SL1","Sloper up from the roof (25 ft) to a 69 ft support 122 ft out at 150°M · NEC search"
2,NR-SL2,sloper,"slant (§9, LOW)",25,49,23,2.73,-12.8,10,28,1.98,82,37,-1.68,83,20,62,"on the lot","","Sloper up from the roof (25 ft) to a 62 ft support 125 ft out at 60°M · NEC search"
3,NR-SL3,sloper,"slant (§9, LOW)",25,49,23,2.61,-11.8,4,31,2.35,51,46,-1.15,54,27,71,"on the lot, inside the 5 m setback","","Sloper up from the roof (25 ft) to a 71 ft support 121 ft out at 260°M · NEC search"
4,NR2-SL2,sloper,"slant (§9, LOW)",25,49,22,2.47,-16.9,2,35,2.37,61,43,-0.92,66,25,71,"on the lot, inside the 5 m setback","","Sloper up from the roof (25 ft) to a 71 ft support 121 ft out at 255°M · NEC search, 40+20 m"
5,NR-SL4,sloper,"slant (§9, LOW)",25,48,22,2.43,-11.4,8,29,1.83,68,41,-0.59,72,23,62,"tree top 23 ft past the south line","","Sloper up from the roof (25 ft) to a 62 ft support 125 ft out at 242°M · NEC search"
6,NR-SL5,sloper,"slant (§9, LOW)",25,48,22,2.37,-15.4,6,29,1.78,77,38,-1.81,82,20,75,"tree top 45 ft past the south line","","Sloper up from the roof (25 ft) to a 75 ft support 120 ft out at 125°M · NEC search"
7,NR-SL6,sloper,"slant (§9, LOW)",25,47,23,2.32,-7.0,11,28,1.92,88,32,-1.51,86,18,62,"on the lot","","Sloper up from the roof (25 ft) to a 62 ft support 125 ft out at 80°M · NEC search"
8,NR2-SL3,sloper,"slant (§9, LOW)",25,47,23,2.08,-9.0,3,33,1.65,66,42,-1.17,62,26,84,"tree top 54 ft past the south line","","Sloper up from the roof (25 ft) to a 84 ft support 116 ft out at 132°M · NEC search, 40+20 m"
9,N-SL1,sloper,"slant (§9, LOW)",10,41,21,1.16,-11.4,5,30,1.44,71,40,-1.26,59,26,68,"tree top 29 ft past the south line","N2-SL1","Sloper up from the transformer (10 ft) to a 68 ft support 116 ft out at 145°M · NEC search"
10,S4,sloper,"horizontal (§3/§4)",24,40,19,2.49,-9.6,14,26,1.97,89,32,-2.31,90,17,50,"on the lot","","Straight sloper to a 50 ft tree, feed 24 ft, over the LAWN, bearing 83T"
11,N-SL2,sloper,"slant (§9, LOW)",10,39,17,1.25,-11.9,12,28,1.34,76,38,-1.08,78,21,60,"on the lot","N2-SL3","Sloper up from the transformer (10 ft) to a 60 ft support 120 ft out at 250°M · NEC search"
12,NR-V1,inverted-V,"bent wire (§3/§4)",25,38,23,1.05,-12.1,29,21,0.20,65,42,-0.89,76,22,50,"on the lot","","Inverted-V from the roof, apex 50 ft 57 ft out at 279°M, second leg to 325°M · NEC search"
13,NR-L1,inverted-L,"hybrid §3+§9 (UNVALIDATED)",25,38,22,1.02,-15.2,34,18,-0.32,19,51,-0.90,22,34,56,"on the lot","","Inverted-L from the roof, rising to 56 ft 78 ft out at 41°M, then 46 ft hanging down · NEC search"
