# Every straight sloper off the roof point on NEC-2 (tools/nec_roof_sloper_scan.py).
# Roof feed ENU (-10.7, -10.5), cells workable >= 1.02 dBi. brg in degrees true.
roof_ft,dir,brg_true,brg_mag,run_m,end_ft,slope_deg,cells3,regions3,dBi3,worst3,cells2,dBi2,cells3_thr_minus2,cells3_thr_plus2,nbr_mean3,on_lot,setback_ok
25,down,9.00,353.70,39.40,12.0,5.8,26,17,0.29,-13.7,12,-0.38,42,7,,1,1
25,down,9.00,353.70,39.45,13.7,5.0,26,17,0.33,-14.7,12,-0.38,41,8,,1,1
25,down,9.00,353.70,39.50,15.8,4.1,26,17,0.41,-15.9,12,-0.36,42,9,,1,1
25,down,9.00,353.70,39.55,18.5,2.9,27,17,0.56,-17.4,13,-0.31,43,11,,1,1
25,down,10.00,354.70,39.30,9.0,7.1,25,15,0.31,-12.9,13,-0.34,41,8,,1,1
25,down,10.00,354.70,39.35,10.4,6.4,24,15,0.30,-13.8,12,-0.37,39,8,,1,1
25,down,10.00,354.70,39.40,12.0,5.8,25,16,0.31,-14.8,12,-0.38,37,8,,1,1
25,down,10.00,354.70,39.45,13.7,5.0,26,17,0.34,-16.0,12,-0.38,37,9,,1,1
25,down,10.00,354.70,39.50,15.8,4.1,25,17,0.42,-17.7,11,-0.37,41,9,,1,1
25,down,10.00,354.70,39.55,18.5,2.9,25,17,0.57,-20.1,12,-0.31,39,13,,1,1
25,down,11.00,355.70,39.30,9.0,7.1,22,14,0.31,-13.5,11,-0.34,43,10,,1,1
25,down,11.00,355.70,39.35,10.4,6.4,23,15,0.30,-14.5,11,-0.37,41,9,,1,1
25,down,11.00,355.70,39.40,12.0,5.8,23,15,0.31,-15.6,11,-0.38,40,10,,1,1
25,down,11.00,355.70,39.45,13.7,5.0,23,15,0.34,-17.0,11,-0.39,39,10,,1,1
25,down,11.00,355.70,39.50,15.8,4.1,25,17,0.42,-19.0,11,-0.37,39,10,,1,1
25,down,11.00,355.70,39.55,18.5,2.9,26,17,0.56,-22.2,12,-0.32,37,14,,1,1
25,down,12.00,356.70,39.30,9.0,7.1,22,14,0.31,-13.9,11,-0.35,43,10,,1,1
25,down,12.00,356.70,39.35,10.4,6.4,22,14,0.29,-14.8,11,-0.37,41,9,,1,1
25,down,12.00,356.70,39.40,12.0,5.8,22,14,0.30,-15.9,11,-0.39,40,10,,1,1
25,down,12.00,356.70,39.45,13.7,5.0,25,15,0.33,-17.2,12,-0.40,39,10,,1,1
25,down,12.00,356.70,39.50,15.8,4.1,24,15,0.40,-18.9,11,-0.38,39,11,,1,1
25,down,12.00,356.70,39.55,18.5,2.9,26,17,0.55,-21.5,12,-0.33,37,12,,1,1
25,down,13.00,357.70,39.30,9.0,7.1,23,13,0.29,-13.9,12,-0.35,43,11,,1,1
25,down,13.00,357.70,39.35,10.4,6.4,23,13,0.27,-14.7,12,-0.38,42,10,,1,1
25,down,13.00,357.70,39.40,12.0,5.8,24,14,0.28,-15.5,12,-0.40,41,10,,1,1
25,down,13.00,357.70,39.45,13.7,5.0,24,14,0.31,-16.5,12,-0.41,41,11,,1,1
25,down,13.00,357.70,39.50,15.8,4.1,24,15,0.38,-17.6,11,-0.40,37,11,,1,1
25,down,13.00,357.70,39.55,18.5,2.9,23,14,0.52,-18.8,11,-0.35,37,13,,1,1
25,down,14.00,358.70,39.30,9.0,7.1,24,13,0.27,-13.5,13,-0.37,42,11,,1,1
25,down,14.00,358.70,39.35,10.4,6.4,24,13,0.25,-14.1,13,-0.40,40,10,,1,1
25,down,14.00,358.70,39.40,12.0,5.8,24,13,0.25,-14.7,13,-0.42,38,10,,1,1
25,down,14.00,358.70,39.45,13.7,5.0,23,13,0.27,-15.3,12,-0.43,38,10,,1,1
25,down,14.00,358.70,39.50,15.8,4.1,26,15,0.34,-15.8,12,-0.42,36,11,,1,1
25,down,14.00,358.70,39.55,18.5,2.9,26,15,0.47,-18.9,12,-0.37,37,13,,1,1
25,down,15.00,359.70,39.30,9.0,7.1,24,13,0.23,-12.9,13,-0.38,40,11,,1,1
25,down,15.00,359.70,39.35,10.4,6.4,25,13,0.21,-13.3,13,-0.42,38,10,,1,1
25,down,15.00,359.70,39.40,12.0,5.8,25,13,0.21,-13.6,13,-0.44,39,10,,1,1
25,down,15.00,359.70,39.45,13.7,5.0,25,14,0.23,-13.9,12,-0.45,39,10,,1,1
25,down,15.00,359.70,39.50,15.8,4.1,25,14,0.29,-15.8,12,-0.45,36,11,,1,1
25,down,15.00,359.70,39.55,18.5,2.9,25,14,0.42,-18.7,12,-0.40,34,12,,1,1
25,down,16.00,0.70,39.30,9.0,7.1,25,13,0.19,-12.2,13,-0.41,40,11,,1,1
25,down,16.00,0.70,39.35,10.4,6.4,25,13,0.17,-12.4,13,-0.44,38,10,,1,1
25,down,16.00,0.70,39.40,12.0,5.8,24,13,0.16,-12.6,12,-0.47,37,10,,1,1
25,down,16.00,0.70,39.45,13.7,5.0,25,14,0.18,-13.8,12,-0.48,37,11,,1,1
25,down,16.00,0.70,39.50,15.8,4.1,25,14,0.23,-15.3,12,-0.48,35,11,,1,1
25,down,16.00,0.70,39.55,18.5,2.9,24,13,0.36,-21.0,12,-0.44,35,14,,1,1
25,down,17.00,1.70,39.30,9.0,7.1,24,13,0.15,-11.4,13,-0.44,40,10,,1,1
25,down,17.00,1.70,39.35,10.4,6.4,24,13,0.11,-11.5,13,-0.47,36,10,,1,1
25,down,17.00,1.70,39.40,12.0,5.8,23,13,0.10,-12.2,12,-0.50,36,10,,1,1
25,down,17.00,1.70,39.45,13.7,5.0,24,14,0.12,-13.2,12,-0.52,36,10,,1,1
25,down,17.00,1.70,39.50,15.8,4.1,24,14,0.17,-14.4,12,-0.52,35,11,,1,1
25,down,17.00,1.70,39.55,18.5,2.9,23,13,0.29,-18.1,12,-0.48,35,12,,1,1
25,down,18.00,2.70,39.30,9.0,7.1,23,13,0.09,-10.7,12,-0.47,37,9,,1,1
25,down,18.00,2.70,39.35,10.4,6.4,23,13,0.06,-11.0,12,-0.51,35,9,,1,1
25,down,18.00,2.70,39.40,12.0,5.8,22,13,0.04,-11.7,11,-0.54,36,9,,1,1
25,down,18.00,2.70,39.45,13.7,5.0,22,13,0.05,-12.5,11,-0.56,33,10,,1,1
25,down,18.00,2.70,39.50,15.8,4.1,24,15,0.10,-14.8,11,-0.56,34,11,,1,1
25,down,18.00,2.70,39.55,18.5,2.9,23,14,0.22,-18.8,11,-0.52,34,13,,1,1
25,down,19.00,3.70,39.30,9.0,7.1,24,13,0.04,-10.0,13,-0.51,37,9,,1,1
25,down,19.00,3.70,39.35,10.4,6.4,22,13,-0.01,-10.5,11,-0.55,35,10,,1,1
25,down,19.00,3.70,39.40,12.0,5.8,22,13,-0.03,-11.1,11,-0.59,35,10,,1,1
25,down,19.00,3.70,39.45,13.7,5.0,23,14,-0.02,-12.1,11,-0.61,33,11,,1,1
25,down,19.00,3.70,39.50,15.8,4.1,23,14,0.02,-14.0,11,-0.61,35,10,,1,1
25,down,19.00,3.70,39.55,18.5,2.9,22,14,0.14,-17.3,10,-0.57,33,12,,1,1
25,down,20.00,4.70,39.30,9.0,7.1,22,13,-0.02,-11.1,11,-0.56,39,9,,1,1
25,down,20.00,4.70,39.35,10.4,6.4,21,13,-0.07,-11.7,10,-0.60,35,9,,1,1
25,down,20.00,4.70,39.40,12.0,5.8,21,14,-0.10,-12.4,10,-0.64,35,8,,1,1
25,down,20.00,4.70,39.45,13.7,5.0,21,14,-0.10,-13.1,10,-0.66,34,9,,1,1
25,down,20.00,4.70,39.50,15.8,4.1,20,14,-0.06,-14.3,9,-0.66,34,10,,1,1
25,down,20.00,4.70,39.55,18.5,2.9,21,14,0.05,-17.4,10,-0.63,36,10,,1,1
25,down,21.00,5.70,39.30,9.0,7.1,20,12,-0.09,-12.2,11,-0.61,38,9,,1,1
25,down,21.00,5.70,39.35,10.4,6.4,19,13,-0.14,-13.0,9,-0.65,35,9,,1,1
25,down,21.00,5.70,39.40,12.0,5.8,19,13,-0.17,-14.1,9,-0.69,37,9,,1,1
25,down,21.00,5.70,39.45,13.7,5.0,22,15,-0.17,-15.3,10,-0.72,35,7,,1,1
25,down,21.00,5.70,39.50,15.8,4.1,21,15,-0.13,-16.8,9,-0.72,35,8,,1,1
25,down,21.00,5.70,39.55,18.5,2.9,22,15,-0.02,-18.6,10,-0.69,35,10,,1,1
25,down,22.00,6.70,39.30,9.0,7.1,22,13,-0.14,-12.8,11,-0.66,40,9,,1,1
25,down,22.00,6.70,39.35,10.4,6.4,19,13,-0.20,-13.8,9,-0.71,37,8,,1,1
25,down,22.00,6.70,39.40,12.0,5.8,19,13,-0.23,-14.9,9,-0.75,36,7,,1,1
25,down,22.00,6.70,39.45,13.7,5.0,19,13,-0.24,-16.4,9,-0.77,33,6,,1,1
25,down,22.00,6.70,39.50,15.8,4.1,21,14,-0.21,-18.5,10,-0.78,33,7,,1,1
25,down,22.00,6.70,39.55,18.5,2.9,24,16,-0.10,-22.2,12,-0.75,34,9,,1,1
25,down,23.00,7.70,39.30,9.0,7.1,20,12,-0.20,-12.7,11,-0.72,39,9,,1,1
25,down,23.00,7.70,39.35,10.4,6.4,20,13,-0.26,-13.4,9,-0.76,34,8,,1,1
25,down,23.00,7.70,39.40,12.0,5.8,20,13,-0.30,-14.3,9,-0.80,33,7,,1,1
25,down,23.00,7.70,39.45,13.7,5.0,21,14,-0.31,-15.3,10,-0.83,32,7,,1,1
25,down,23.00,7.70,39.50,15.8,4.1,23,14,-0.28,-16.5,12,-0.84,32,7,,1,1
25,down,23.00,7.70,39.55,18.5,2.9,25,16,-0.17,-18.0,12,-0.81,32,8,,1,1
25,down,24.00,8.70,39.30,9.0,7.1,17,11,-0.25,-11.8,9,-0.77,38,9,,1,1
25,down,24.00,8.70,39.35,10.4,6.4,19,12,-0.31,-12.3,11,-0.82,35,7,,1,1
25,down,24.00,8.70,39.40,12.0,5.8,18,12,-0.35,-12.8,10,-0.86,34,7,,1,1
25,down,24.00,8.70,39.45,13.7,5.0,19,13,-0.37,-13.2,11,-0.89,33,8,,1,1
25,down,24.00,8.70,39.50,15.8,4.1,20,13,-0.34,-13.5,11,-0.90,34,8,,1,1
25,down,24.00,8.70,39.55,18.5,2.9,22,14,-0.23,-13.7,11,-0.87,34,7,,1,1
25,down,25.00,9.70,39.30,9.0,7.1,20,11,-0.30,-10.7,12,-0.83,37,10,,1,1
25,down,25.00,9.70,39.35,10.4,6.4,20,12,-0.36,-10.9,12,-0.88,33,9,,1,1
25,down,25.00,9.70,39.40,12.0,5.8,19,12,-0.40,-11.0,11,-0.92,32,8,,1,1
25,down,25.00,9.70,39.45,13.7,5.0,18,12,-0.41,-11.1,10,-0.95,32,8,,1,1
25,down,25.00,9.70,39.50,15.8,4.1,18,13,-0.38,-11.6,10,-0.96,33,9,,1,1
25,down,25.00,9.70,39.55,18.5,2.9,21,14,-0.28,-12.9,11,-0.93,36,8,,1,1
