# Per-region net dB for EVERY resonant band. Long format.
# net_dB  = relative to that wire's own peak lobe (historical
#           convention; comparable ACROSS OPTIONS on one band).
# To compare ACROSS BANDS add the band's peak_dBi:
#   80m=+2.15  40m=+3.80  20m=+5.30  15m=+6.40  10m=+7.10
# arrival_deg is the 20 m arrival angle scaled by the band's
# arrival multiplier - a rule of thumb, LOW confidence.
# 30m/17m/12m are not harmonics of a 39.6 m wire and are absent.
band,freq_MHz,n_half_waves,region,bearing_true_deg,arrival_deg,BASE,A,V1,V2,V3,S1,S2,S3,S4,S5,T30,T45,T60,T75,T-APEX
80m,3.550,1,Moscow,11.7,19.0,-16.4,-11.1,-13.0,-13.9,-18.2,-32.5,-27.8,-25.9,-12.1,-17.0,-9.5,-5.6,-8.5,-5.8,-6.3
80m,3.550,1,Kyiv,17.4,19.0,-16.9,-11.4,-13.3,-14.2,-18.1,-29.5,-25.2,-22.8,-12.5,-17.8,-9.3,-5.4,-8.1,-5.9,-6.5
80m,3.550,1,Central Europe,30.5,19.0,-16.6,-10.6,-12.5,-13.3,-18.3,-24.9,-21.2,-18.3,-14.2,-20.2,-8.4,-5.3,-7.3,-6.2,-7.1
80m,3.550,1,United Kingdom,34.5,20.9,-15.5,-9.7,-11.6,-12.4,-17.7,-23.1,-19.5,-16.5,-14.0,-20.4,-7.6,-5.1,-7.3,-6.7,-7.6
80m,3.550,1,Iberia,43.6,19.0,-15.8,-10.4,-12.3,-13.2,-19.1,-22.0,-18.5,-15.3,-16.6,-23.8,-7.6,-5.4,-6.5,-6.5,-7.7
80m,3.550,1,South Africa,58.3,9.5,-21.6,-16.8,-18.8,-19.7,-26.8,-25.7,-22.3,-18.9,-26.5,-36.8,-10.1,-7.4,-6.3,-6.2,-7.6
80m,3.550,1,US Northeast,83.5,28.5,-13.6,-10.5,-12.3,-13.2,-22.9,-14.3,-11.3,-7.7,-51.9,-25.9,-4.8,-7.7,-6.0,-11.2,-12.1
80m,3.550,1,US Midwest,90.6,39.9,-12.2,-9.7,-11.4,-12.2,-23.2,-11.8,-8.9,-5.4,-25.1,-19.8,-4.1,-9.2,-7.1,-17.2,-16.9
80m,3.550,1,Caribbean,103.5,20.9,-18.9,-17.2,-19.1,-20.0,-37.2,-16.6,-13.9,-10.0,-20.5,-19.8,-6.9,-10.2,-5.1,-9.0,-9.6
80m,3.550,1,US Southeast,108.7,28.5,-18.1,-15.3,-17.2,-18.0,-49.1,-15.0,-12.3,-8.4,-16.5,-16.5,-6.6,-11.7,-5.5,-11.7,-11.5
80m,3.550,1,Denver,116.6,47.5,-14.9,-10.1,-11.8,-12.6,-31.7,-12.4,-9.9,-6.2,-11.1,-11.7,-6.1,-15.2,-7.0,-20.3,-17.1
80m,3.550,1,Dallas,118.9,47.5,-14.4,-9.5,-11.2,-12.0,-29.2,-12.7,-10.3,-6.4,-10.6,-11.4,-6.4,-16.0,-7.0,-20.1,-16.7
80m,3.550,1,South America,131.5,13.3,-21.8,-16.5,-18.5,-19.4,-31.5,-24.8,-22.3,-18.0,-17.7,-19.6,-12.2,-12.8,-5.6,-6.3,-6.6
