band,lower_mhz,upper_mhz,outdoor_minimum_swr,outdoor_minimum_frequency_mhz,outdoor_coverage_at_or_below_2_percent,office_minimum_swr,office_minimum_frequency_mhz,office_maximum_swr,office_median_swr,office_resistance_at_minimum_ohm,office_reactance_at_minimum_ohm,office_coverage_at_or_below_1_5_percent,office_coverage_at_or_below_2_percent,office_coverage_at_or_below_3_percent,office_longest_range_at_or_below_2
160m,1.8,2.0,4.481751083861386,1.8,0.0,15.114599417109098,1.801388,17.062191099108357,16.26190317027769,140.2609745697246,290.3278714484763,0.0,0.0,0.0,none
80m,3.5,4.0,15.812040980422173,3.96376,0.0,1.1591310777119341,3.617713,2.0810551134692545,1.4480820884623178,57.181710139534154,3.2990023654984793,56.417112299465245,96.2566844919786,100.0,3.5000-3.9802 MHz
60m envelope,5.3305,5.4064,10.721120638933908,5.40383,0.0,7.8087764863553755,5.404613,8.127361717904716,7.9660866590506565,17.363387017295434,63.945538313796746,0.0,0.0,0.0,none
40m,7.0,7.3,1.4060560412645176,7.022995,100.0,1.3967374898446516,7.21425,2.1051139875891214,1.5063811308373467,45.37029453755719,-15.303871018632757,48.44444444444444,93.33333333333333,100.0,7.0203-7.2999 MHz
30m,10.1,10.15,6.404934897868093,10.14802,0.0,2.4707668254983055,10.148725,2.6013344689431923,2.5370363606367796,118.75999104362994,-21.697444862233347,0.0,0.0,100.0,none
20m,14.0,14.35,2.583571340304399,14.347615,0.0,1.2233171314351832,14.226763,1.619992227793063,1.3057810820675642,59.610333343532524,5.39881213470394,86.64122137404581,100.0,100.0,14.0007-14.3498 MHz
17m,18.068,18.168,10.175323413613292,18.156125,0.0,1.834116267480457,18.068063,2.0709351840428747,1.9499740908782544,41.09201988002093,26.45819470705168,0.0,70.66666666666667,100.0,18.0681-18.1376 MHz
15m,21.0,21.45,1.8890240187211598,21.44928,23.577235772357724,1.5004011743614818,21.056038,1.7249028208142896,1.550437437888841,34.84130432275022,7.806823507126529,0.0,100.0,100.0,21.0012-21.4493 MHz
12m,24.89,24.99,5.97485726476151,24.98732,0.0,1.6179496069340085,24.89065,1.743962322179429,1.6773302395295318,30.90639488376918,0.3926361629623299,0.0,100.0,100.0,24.8907-24.9896 MHz
10m,28.0,29.7,1.684150186667617,29.18326,76.34408602150538,1.6856022397767516,28.554063,3.0102505412191705,2.1426850888754188,30.59670458080075,7.079905092691412,0.0,39.57513768686074,99.4492525570417,28.2291-28.9005 MHz
6m,50.0,54.0,8.027612149771759,53.18199,0.0,5.474019669242088,50.927763,8.681806261774156,6.499968251142709,33.20863595056995,-76.09042216004659,0.0,0.0,0.0,none
