band,lower_mhz,upper_mhz,minimum_swr,minimum_swr_frequency_mhz,maximum_swr,median_swr,return_loss_at_minimum_db,resistance_at_minimum_ohm,reactance_at_minimum_ohm,coverage_at_or_below_1_5_percent,coverage_at_or_below_2_0_percent,coverage_at_or_below_3_0_percent,longest_range_at_or_below_2_0,rating
80m,3.5,4.0,1.1577375868820754,3.564213,4.117725833425225,2.12783030719119,22.721268685839583,55.8639711771517,5.063889186552268,30.74866310160428,46.25668449197861,72.72727272727273,3.5000-3.7301 MHz,best in a subrange
40m,7.0,7.3,1.4383227220041757,7.19285,2.0431072117535862,1.5466743326154215,14.905944026346226,37.885476856710945,-10.308720210777912,36.888888888888886,96.88888888888889,100.0,7.0096-7.2999 MHz,usable full-band
30m,10.1,10.15,2.863004206998586,10.148725,3.0383347666064884,2.9505219993173832,6.334226910007773,33.745612560544366,-42.20502785221702,0.0,0.0,78.37837837837837,none,tuner recommended
20m,14.0,14.35,1.089466977133633,14.26555,1.5685485664884065,1.1976227535100858,27.367454957768267,50.089336313827594,-4.2886357684427745,91.22137404580153,100.0,100.0,14.0007-14.3498 MHz,very good full-band
17m,18.068,18.168,1.4519007800156862,18.068063,1.5470976650765553,1.5004577851214915,14.6891960168311,72.34184896299134,3.097898391429372,49.333333333333336,100.0,100.0,18.0681-18.1670 MHz,very good full-band
15m,21.0,21.45,1.3736749694752954,21.0012,1.7051241407656317,1.509009376298142,16.058544848850826,59.038218507990564,14.777348733557313,47.32142857142857,100.0,100.0,21.0012-21.4493 MHz,very good full-band
12m,24.89,24.99,1.5292922875658177,24.89065,1.6406727855073984,1.5823943960205014,13.586069078308473,70.58469475289934,14.9261238222992,0.0,100.0,100.0,24.8907-24.9896 MHz,very good full-band
10m,28.0,29.7,1.595432487751008,28.505913,3.016026142680322,2.007742341325443,12.787544195140537,77.03435500146495,-11.18388235576855,0.0,49.409913453973246,98.97718332022029,28.0833-28.9219 MHz,best in a subrange
