frequency_hz,s11_real,s11_imag,swr,return_loss_db,resistance_ohm,reactance_ohm
851000000,-0.36314493949809085,-0.6134299177755936,5.965262686816463,2.939905404581231,11.005553982374053,-27.453156945321783
851009000,-0.36305029733297467,-0.6127937091626319,5.950843882315816,2.9471660511287667,11.029673254811764,-27.43743199790639
851018000,-0.36201406083129417,-0.6127351921275856,5.936908925949556,2.954217542303859,11.062440996573324,-27.47042603435292
851027000,-0.36156303187340844,-0.6127106705909435,5.93088853314968,2.957274585139951,11.076679688086372,-27.484833601618387
851036000,-0.36185976806948045,-0.6129288554408874,5.939033867858935,2.953140059607277,11.060530763706177,-27.48136196626531
851045000,-0.36203011043245437,-0.6130440038304829,5.943509019573903,2.950873462180099,11.051603031214771,-27.479068836915584
851054000,-0.3616209690009515,-0.6136161249384435,5.950383084933817,2.947398684571289,11.044552407707366,-27.509800854861062
851063000,-0.36251428820402115,-0.6132313548140674,5.953348533647174,2.945902226678376,11.030933124594853,-27.468395839646355
851072000,-0.3630070655371368,-0.6131861954065213,5.958478110033793,2.943317301203876,11.017811345374012,-27.450539719805537
851081000,-0.3641268398098755,-0.6125544773159551,5.959156027473155,2.9429760237461737,11.005687487581314,-27.394305222719765
851090000,-0.3650580670131605,-0.6121101525510092,5.9614484225339055,2.9418225770009405,10.992852042673087,-27.35000427494768
851099000,-0.36357447987474645,-0.6123747074289544,5.948598149060231,2.948300159085057,11.02811623446654,-27.407431992607066
851108000,-0.36310891070007495,-0.6135485818150673,5.9672951973506905,2.9388848290496723,11.0026482005524,-27.457885423982606
851117000,-0.36255640884479257,-0.6136809955633952,5.963238520459842,2.940922501714959,11.014605578477225,-27.480333035938873
851126000,-0.3622197806522307,-0.614038325158721,5.966551242328683,2.939258304890147,11.012605685886802,-27.50222742397236
851135000,-0.36305045865516467,-0.6132565459092753,5.960479494855835,2.942309993482783,11.014166170438974,-27.451175090124888
851144000,-0.36249507834308103,-0.6127574826513416,5.9432663073646435,2.9509963021901484,11.047390420263785,-27.454958091918474
851153000,-0.36318485654129634,-0.6131198281976167,5.959288904121412,2.942909140297724,11.01475442281693,-27.442613941702053
851162000,-0.3624479318521838,-0.6122565900541481,5.9323142030433,2.9565500795431716,11.065581671030875,-27.441639368009824
851171000,-0.3624831755332695,-0.6125141963157807,5.9380770861434105,2.953625111463653,11.055899147660632,-27.448122419661782
851180000,-0.362376993689512,-0.6124667767395682,5.935794136068379,2.9547831302568914,11.060647195175905,-27.450271067763143
851189000,-0.3618472659373957,-0.6129918689138361,5.940187447097359,2.952555452738246,11.058787627657694,-27.483654942559095
851198000,-0.36182236780985694,-0.6130181252892292,5.940427203628563,2.952433979088248,11.058646540871033,-27.485271148379734
851207000,-0.3616640573768404,-0.6125310830990753,5.9284082725182685,2.9585358738191765,11.079702404436834,-27.476098870695818
851216000,-0.36194953493828197,-0.6121837709291621,5.924718812542076,2.960414088538345,11.082858551317559,-27.456182279744116
851225000,-0.3619450153816827,-0.6124706153146858,5.930589033817433,2.957426832101891,11.07337095220872,-27.464871682766475
851234000,-0.36291569036277793,-0.6120304615768882,5.933368835283778,2.9560143607095126,11.059235456739827,-27.419239740481146
