frequency_hz,s11_real,s11_imag,swr,return_loss_db,resistance_ohm,reactance_ohm
851000000,0.8005585054303314,-0.08684033585473958,9.26982529677295,1.881334414559321,371.4904408287517,-183.52435394704256
851009000,0.8001065152281044,-0.08708407180740788,9.247566012858876,1.8858984869976054,370.46509991681995,-183.17662026578142
851018000,0.8009231440503017,-0.08729389062700661,9.291573119021571,1.8768965808179323,371.3104695891572,-184.74186703863518
851027000,0.8002078944515472,-0.08764779111066995,9.256077357405534,1.8841506871779112,369.73994947978593,-184.13780320206615
851036000,0.8004142045072791,-0.08788514115609813,9.268238480763015,1.881659043108056,369.66564553036727,-184.7945862316966
851045000,0.8006486838558087,-0.08835215962399831,9.283241350591844,1.878594265269031,369.27166974139175,-185.82048118517585
851054000,0.800074103063668,-0.08748919645934491,9.248181202675594,1.8857720489783814,369.79434449146595,-183.70541505902028
851063000,0.8003348515944184,-0.0878733241316913,9.264013862168518,1.88252385808998,369.571318613179,-184.65479214211393
851072000,0.8004819446128493,-0.08812065149672342,9.273147418709831,1.8806551436207295,369.39608241139075,-185.23364186540374
851081000,0.7995611545471598,-0.08758107612777352,9.221996811926086,1.8911687424584025,368.92344096235456,-183.0471817563192
851090000,0.800851854764571,-0.08791623420256728,9.291403910276765,1.8769310282148608,370.23909155460063,-185.51936976621974
851099000,0.7997488218794492,-0.08857914412837783,9.237474850278225,1.8879749240388768,367.6528607213852,-184.74464566294722
851108000,0.8007008744305754,-0.0876657781777881,9.282019283212072,1.8788435335142606,370.41412783445816,-184.92771389860073
851117000,0.8006753681189106,-0.08766432854235108,9.28067086671217,1.8791186505894468,370.38002406047303,-184.88599323671983
851126000,0.8011367619234154,-0.08702896942593101,9.301311123683877,1.8749162610037406,372.0301010220676,-184.6939892657656
851135000,0.8004612890142697,-0.08800898762329097,9.271419907810825,1.8810083045741126,369.540253810163,-185.04335736483486
851144000,0.8000367919668014,-0.08768990254523774,9.247380614655244,1.8859365946424935,369.4316348200076,-183.9334322724503
851153000,0.8000392783363506,-0.0875036200327357,9.246445940702449,1.886128735602164,369.72249216434597,-183.67225907155947
851162000,0.8004674152424561,-0.0874161621336143,9.268335752683644,1.8816391401219001,370.4683738954868,-184.2091685885174
851171000,0.7997905037610419,-0.08760777500303507,9.234073962651768,1.8886757520509454,369.20820061737857,-183.4373414300021
851180000,0.80004991339938,-0.08813260286873757,9.250605250792812,1.8852740076471424,368.7665017739103,-184.5809742972929
851189000,0.8001027800906619,-0.0872523871666487,9.248328264684082,1.8857418263090933,370.2003999429155,-183.4116952703412
851198000,0.8003568906894816,-0.08698180127709972,9.26006987381508,1.883331946304763,370.9819010502711,-183.41611781579826
851207000,0.7999392612260182,-0.08755520036803278,9.241523573819165,1.88714127565335,369.5006251437186,-183.59155081631647
851216000,0.8006675213323392,-0.08731868016881207,9.278275025030462,1.8796076731407594,370.9057078912893,-184.38004250107
851225000,0.7991465325484446,-0.08708524254403952,9.197707578278225,1.8962026368275122,369.0912169698588,-181.70789252966026
851234000,0.7993134856467726,-0.08746143328055789,9.20847196561241,1.8939684236975727,368.7548791357068,-182.49807188325764
851243000,0.7996444171246918,-0.08739586666766491,9.225269634161522,1.890492507309072,369.32590567720746,-182.91155363347488
851252000,0.8003581245056319,-0.08744868256127682,9.26279724400295,1.8827730580931046,370.2619629148265,-184.08640420007734
851261000,0.8009792869260105,-0.08653858318665994,9.290213883405327,1.8771733289068704,372.5656973212646,-183.7408588515625
851270000,0.8001362243326579,-0.08675353122948072,9.247242482650758,1.8859649879689475,371.0166452992183,-182.747876968408
851279000,0.8003485677712322,-0.08739217013707057,9.261973856315649,1.8829417502489472,370.33574384861,-183.9909307488395
851288000,0.800332533467668,-0.08760049990492821,9.262326713198574,1.8828694547207,369.9905312718775,-184.26327099610515
851297000,0.8009007385072702,-0.08786206303945374,9.293664732324805,1.8764708764547509,370.3931095325577,-185.5185479552887
851306000,0.800304560916047,-0.08798660696526454,9.263079612883432,1.8827152145489818,369.35281530137195,-184.76852305168123
851315000,0.8003467026043432,-0.08708849816315409,9.26014390452864,1.8833167716546737,370.8024845221122,-183.55347433972227
851324000,0.8000332030998293,-0.08705678282617178,9.243585786167186,1.8867169419152832,370.4021036904111,-183.02465813318543
851333000,0.8004972793350229,-0.08754814849698633,9.270657317040785,1.8811642459772897,370.30645602957867,-184.44386073567654
851342000,0.8009263767472063,-0.08690353395928975,9.289508806540034,1.8773169188352536,371.9223007413082,-184.18582226783974
