frequency_hz,s11_real,s11_imag,swr,return_loss_db,resistance_ohm,reactance_ohm
851000000,0.8533981772443664,-0.05985244279939104,12.840299418918907,1.3556560133146967,534.6671031905782,-238.6993128232098
851009000,0.8529669814599542,-0.060566068427706704,12.804010090481393,1.3595139200549398,531.4579328773008,-239.51505111001939
851018000,0.8528476561831936,-0.06090741023011224,12.79498600272796,1.360476686277564,530.1730805516593,-240.1377980470333
851027000,0.8526284102677306,-0.06128835425214632,12.776792375684185,1.3624218970971045,528.502952159319,-240.58567823190987
851036000,0.8530963515852898,-0.060818432877146174,12.81802540780829,1.3580213512375168,531.116233595015,-240.58339617914754
851045000,0.852661471281552,-0.06176532807533441,12.783182529032885,1.3617380453504233,527.2639495783819,-241.99303157089125
851054000,0.8531014007111062,-0.061133353225989354,12.820650172142823,1.3577421905583895,530.2487875382656,-241.47646239817288
851063000,0.8529905890505451,-0.06214325605917499,12.817046651356488,1.358125477768608,527.1060732872296,-243.9520725508104
851072000,0.8531132795639792,-0.06186236006547887,12.826790437148336,1.3570895826127694,528.2336144595967,-243.5270932149617
851081000,0.8529380548636588,-0.06112798000877614,12.80507060298615,1.3594008652393705,529.8093364140863,-241.00438418901098
851090000,0.8524261501113544,-0.06205114509637837,12.762884751590851,1.3639126237703245,525.8218686216774,-242.11881946884503
851099000,0.8526307563826426,-0.0615726703843943,12.778953737942983,1.3621905186930086,527.7172463785507,-241.3773234733271
851108000,0.8523140927183204,-0.06131833363067496,12.747307773845643,1.3655861704956331,527.5508601007106,-239.79577320666803
851117000,0.8530906481403938,-0.06110612959124396,12.819440177651714,1.3578708670163306,530.2951250107926,-241.37053673726322
851126000,0.8528162219827911,-0.06067414368608342,12.790425975280472,1.3609637085509947,530.7345362367317,-239.39846612021802
851135000,0.8526607295016818,-0.06096719493000209,12.777672239629828,1.3623276962947366,529.4858992449198,-239.78420457060597
851144000,0.8524293941259385,-0.06094727117569653,12.75567194033611,1.3646870366703472,528.8977376477935,-239.08716231420496
851153000,0.8521535441233202,-0.060876539623096464,12.729214320337352,1.3675352540889847,528.3265712456698,-238.12894411816444
851162000,0.8521286995091069,-0.060935699977318056,12.72727655287033,1.3677443270570397,528.0946557705608,-238.22474263486538
851171000,0.8523761857801039,-0.06115980737046506,12.752088287435386,1.365072128016337,528.1616226213949,-239.52946653883646
851180000,0.851826215902182,-0.061147862486955765,12.700331242933654,1.3706582099697413,526.6743977660086,-237.98006502327826
851189000,0.8513247135276562,-0.0610192939775726,12.652689060411925,1.3758408274305007,525.642875651167,-236.25528283066552
851198000,0.8514832247919736,-0.061105276831003454,12.668014569734622,1.374169406478026,525.8453416478504,-236.9240037965355
