"No.","Frequency[MHz]","Scan","Name"
"1","88.500","Del","KNKX Tacoma"
"2","88.900","Del","KMIH Mrcr Islnd"
"3","89.500","Del","KNHC Seattle"
"4","89.900","Del","KASB Bellevue"
"5","90.100","Del","KUPS Tacoma"
"6","90.300","Del","KEXP-FM Seattle"
"7","90.700","Del","KSER Everett"
"8","90.900","Del","KVTI Tacoma"
"9","91.300","Del","KBCS Bellevue"
"10","91.500","Del","KQXI Grnt Flls"
"11","91.700","Del","KYFQ Tacoma"
"12","92.500","Del","KQMV Bellevue"
"13","93.300","Del","KJR-FM Seattle"
"14","94.100","Del","KSWD Seattle"
"15","94.900","Del","KUOW-FM Seattle"
"16","95.700","Del","KJEB Seattle"
"17","96.500","Del","KJAQ Seattle"
"18","97.300","Del","KIRO-FM Tacoma"
"19","98.100","Del","KING-FM Seattle"
"20","98.900","Del","KPNW-FM Seattle"
"21","99.900","Del","KISW Seattle"
"22","100.700","Del","KKWF Seattle"
"23","101.500","Del","KPLZ-FM Seattle"
"24","101.900","Del","KQES-LP Bellevue"
"25","102.500","Del","KZOK-FM Seattle"
"26","103.700","Del","KHTP Tacoma"
"27","104.500","Del","KLSW Covington"
"28","104.900","Del","KAPY-LP Duvall"
"29","105.300","Del","KCMS Edmonds"
"30","106.100","Del","KBKS-FM Tacoma"
"31","106.900","Del","KRWM Bremerton"
"32","107.700","Del","KNDD Seattle"
