"No.","Radio ID","Name","Call Type","Call Alert"
"1","9999","Audio Test 2","Group Call","None"
"2","3191","Cascades 1","Group Call","None"
"3","3168","I-5 1","Group Call","None"
"4","3116","Idaho 1","Group Call","None"
"5","465263","Inland 2","Group Call","None"
"6","3181","Local 1","Group Call","None"
"7","3166","Metro 2","Group Call","None"
"8","3130","Montana 2","Group Call","None"
"9","31002","Net 2","Group Call","None"
"10","3141","Oregon 1","Group Call","None"
"11","3187","PNW 1","Group Call","None"
"12","103187","PNW 2","Group Call","None"
"13","31771","PNW Rgnl 2","Group Call","None"
"14","9998","Parrot 1","Group Call","None"
"15","8951","TAC 1","Group Call","None"
"16","8952","TAC 2","Group Call","None"
"17","8953","TAC 3","Group Call","None"
"18","312","TAC 312","Group Call","None"
"19","1776","USA 2","Group Call","None"
"20","3153","Washington 1","Group Call","None"
"21","103153","Washington 2","Group Call","None"
"22","3027","BC 1","Group Call","None"
"23","3100","Bridge 2","Group Call","None"
"24","3185","Cactus 2","Group Call","None"
"25","3106","California 1","Group Call","None"
"26","3177","Mountain 2","Group Call","None"
"27","3163","N.America 2","Group Call","None"
"28","310","TAC 310","Group Call","None"
"29","311","TAC 311","Group Call","None"
"30","3149","Utah 2","Group Call","None"
"31","302","Canada 2","Group Call","None"
"32","31328","SNARS 1","Group Call","None"
"33","312488","BEARS 1","Group Call","None"
"34","312547","BEARS 2","Group Call","None"
"35","31075","Baynet 2","Group Call","None"
"36","333153","King County","Group Call","None"
"37","8801","Link 1","Group Call","None"
"38","8802","Link 2","Group Call","None"
"39","8803","Link 3","Group Call","None"
"40","8804","Link 4","Group Call","None"
"41","8805","Link 5","Group Call","None"
"42","8806","Link 6","Group Call","None"
"43","3166","Local 2","Group Call","None"
"44","31532","Puget Sound","Group Call","None"
"45","803153","Seattle 1","Group Call","None"
"46","813153","Seattle 2","Group Call","None"
"47","313","TAC 313","Group Call","None"
"48","3115","Hawaii 1","Group Call","None"
"49","3126","Michigan 1","Group Call","None"
"50","315310","RACOM ARC 2","Group Call","None"
"51","31066","SoCal 2","Group Call","None"
"52","99","Simplex 99","Group Call","None"
