"No.","Group Name","Contact","Contact TG/DMR ID"
"1","PNWDigital RX","Audio Test 2|Cascades 1|I-5 1|Idaho 1|Inland 2|Local 1|Metro 2|Montana 2|Net 2|Oregon 1|PNW 1|PNW 2|PNW Rgnl 2|Parrot 1|TAC 1|TAC 2|TAC 3|TAC 312|USA 2|Washington 1|Washington 2|BC 1|Bridge 2|Cactus 2|California 1|Mountain 2|N.America 2|TAC 310|TAC 311|Utah 2|Canada 2|SNARS 1|Hawaii 1|Michigan 1|RACOM ARC 2|SoCal 2","9999|3191|3168|3116|465263|3181|3166|3130|31002|3141|3187|103187|31771|9998|8951|8952|8953|312|1776|3153|103153|3027|3100|3185|3106|3177|3163|310|311|3149|302|31328|3115|3126|315310|31066"
"2","SeattleDMR RX","Audio Test 2|BEARS 1|BEARS 2|Baynet 2|King County|Link 1|Link 2|Link 3|Link 4|Link 5|Link 6|Local 1|Local 2|PNW Rgnl 2|Parrot 1|Puget Sound|Seattle 1|Seattle 2|TAC 313|Washington 1|Washington 2","9999|312488|312547|31075|333153|8801|8802|8803|8804|8805|8806|3181|3166|31771|9998|31532|803153|813153|313|3153|103153"
"3","Simplex RX","Simplex 99","99"
