"No.","Zone Name","Zone Channel Member","A Channel","Scan Channel "
"1","Air Civil","ATIS|KBFI Tower|ZSE-1191|KSEA Tower|Tower|ZSE-1203|KBFI Tower 2|KSEA Tower 2|Civil Guard|Ground|FSS Seattle|uncntrlld CTAF|ZSE-12485|ZSE-1258|ZSE-1261|Mt Vernon RCAG|ZSE-1283|ZSE-1285|Yakima RCAG|KPAE ATIS|ZSE-13365","ATIS","ATIS|KBFI Tower|ZSE-1191|KSEA Tower|Tower|ZSE-1203|KBFI Tower 2|KSEA Tower 2|Civil Guard|Ground|FSS Seattle|uncntrlld CTAF|ZSE-12485|ZSE-1258|ZSE-1261|Mt Vernon RCAG|ZSE-1283|ZSE-1285|Yakima RCAG|KPAE ATIS|ZSE-13365"
"2","Air Mil SAR","McChord ATIS|Approach|Approach 2|SAR Air|Tower2|NAS Whdby Twr|Arlft NW ar-grnd","McChord ATIS","McChord ATIS|Approach|Approach 2|SAR Air|Tower2|NAS Whdby Twr|Arlft NW ar-grnd"
