frequency_hz,s11_real,s11_imag,swr,return_loss_db,resistance_ohm,reactance_ohm
851000000,0.5797068377773607,-0.5061205691621986,7.678937551849599,2.2751836129079135,47.10926892019983,-116.93980029772919
851009000,0.579308719810394,-0.5065020428041853,7.677099310039605,2.275734647378259,47.039575938633824,-116.83328312300083
851018000,0.579067991100668,-0.505585863817438,7.647681618488935,2.284589609757612,47.257673204238024,-116.81721437249625
851027000,0.5783759426286185,-0.5057879564484926,7.633192390882988,2.2889765081392435,47.240643901519796,-116.6516608879436
851036000,0.5784876540708525,-0.5061602857350478,7.645478597652561,2.285255527067128,47.15156123469617,-116.6614986940989
851045000,0.5785241941390262,-0.506307308898216,7.650127131147453,2.2838508503115356,47.11671455571947,-116.66364168946347
851054000,0.5791105507561586,-0.5051830505476677,7.638985805356564,2.287220406513135,47.34747640500534,-116.84373457626482
851063000,0.5788404674656593,-0.5052294066807053,7.632534070390828,2.2891762300786866,47.34819202118138,-116.78037773558057
851072000,0.5783938547913055,-0.5052001549792073,7.619302410172009,2.2931979106477316,47.37336113725784,-116.68007617165657
851081000,0.5789386187483674,-0.5051110067710509,7.632388906856507,2.2892202746563233,47.37103357075902,-116.80762707580459
851090000,0.5791819833087468,-0.5060471862587321,7.662263539466246,2.280191688123509,47.14811811255695,-116.82373346970876
851099000,0.5789869262068422,-0.5057643370272075,7.649788710747509,2.2839530543237587,47.2205262692674,-116.79132567310634
851108000,0.5790809463603976,-0.5055096474125573,7.646172574602567,2.2850457133200903,47.27445126409326,-116.82334913464058
851117000,0.5788868142216789,-0.5060739936069995,7.654593922519884,2.2825027269813787,47.154436249768395,-116.7556258270174
851126000,0.5793409354157362,-0.5059424776704448,7.664170846864567,2.279617701421737,47.16519469600658,-116.86423397630435
851135000,0.5803189984261539,-0.5057229549202698,7.686474921035037,2.2729270018029584,47.173606843678506,-117.09589761975099
851144000,0.5787566839534155,-0.5063453965466791,7.65761777918146,2.2815910043347722,47.09834965782457,-116.71473585133916
851153000,0.5785039673393496,-0.5063607820712943,7.650875336238725,2.2836249226994934,47.105443890707484,-116.65682403104913
