service,service_label,coverage_status,family,family_label,measurement_context,measurement_context_label,configuration,configuration_label,minimum_swr,median_swr,maximum_swr,coverage_at_or_below_2_percent,coverage_at_or_below_3_percent
6m,6m amateur,gap,generic-extendable,Generic extendable whip,handheld_bench,Handheld bench fixture,generic-extendable:setting-3,setting 3,2.2196284253527208,155.5117252138352,very poor / outside calibrated dynamic range,0.0,12.142857142857142
fm-broadcast,FM broadcast,partial only,smiley-halfwave,Smiley 2m half-wave telescopic,handheld_bench,Handheld bench fixture,smiley-halfwave:setting-2,setting 2 (34.5 cm),1.3276516135214163,3.157031921805983,11.165303630006068,23.83808095952024,45.877061469265364
civil-air,Civil air,broad <=3:1,diamond-rh77ca,Diamond RH77CA,handheld_bench,Handheld bench fixture,diamond-rh77ca,first mounting,1.5611232440756704,2.127626528376058,4.408667316438327,42.4287856071964,80.35982008995502
2m,2m amateur,broad <=2:1,smiley-halfwave,Smiley 2m half-wave telescopic,handheld_bench,Handheld bench fixture,smiley-halfwave:setting-6,setting 6 (80 cm),1.2226871300135533,1.3912466496180966,1.6328002230312146,100.0,100.0
vhf-lmr,VHF LMR,broad <=3:1,smiley-halfwave,Smiley 2m half-wave telescopic,handheld_bench,Handheld bench fixture,smiley-halfwave:setting-5,setting 5 (69 cm),1.102917648201838,1.8300031155164889,3.3675883372204027,67.86606696651674,93.80309845077461
marine-vhf,Marine VHF,broad <=2:1,smiley-halfwave,Smiley 2m half-wave telescopic,handheld_bench,Handheld bench fixture,smiley-halfwave:setting-5,setting 5 (69 cm),1.2180183706480079,1.5196996094540214,1.7723138468914472,100.0,100.0
railroad,Railroad,broad <=2:1,smiley-halfwave,Smiley 2m half-wave telescopic,handheld_bench,Handheld bench fixture,smiley-halfwave:setting-5,setting 5 (69 cm),1.1618168685147088,1.2236873503813537,1.3183493949517093,100.0,100.0
noaa-weather,NOAA weather,broad <=2:1,smiley-halfwave,Smiley 2m half-wave telescopic,handheld_bench,Handheld bench fixture,smiley-halfwave:setting-5,setting 5 (69 cm),1.1242802561926657,1.1317621578096702,1.1409421968530358,100.0,100.0
1.25m,1.25m amateur,broad <=2:1,tid-td771,TID TD771,handheld_bench,Handheld bench fixture,tid-td771,with SMA-to-BNC adapter,1.2289332407651439,1.2639625895286597,1.3149991980175988,100.0,100.0
military-air,Military air,partial only,comet-bnc-w100rx,Comet BNC-W100RX telescopic,handheld_bench,Handheld bench fixture,comet-bnc-w100rx:setting-1,"setting 1 (collapsed, 21 cm)",1.5649917867929342,2.7855223513697243,11.843832837378443,14.678532146785322,55.78442155784422
federal-uhf,Federal UHF,broad <=2:1,diamond-rh77ca,Diamond RH77CA,handheld_bench,Handheld bench fixture,diamond-rh77ca:second-mounting,second mounting,1.3002601628693884,1.3697733798893519,1.7663286731822376,100.0,100.0
70cm,70cm amateur,broad <=2:1,kenwood-thd75a-stock,Kenwood TH-D75A OEM antenna,handheld_sma,"Handheld bench fixture, SMA plane",kenwood-thd75a-stock,bare SMA plane,1.4808356996745502,1.6553288077239137,2.3048437101976402,86.50449850049984,100.0
uhf-lmr,UHF LMR,broad <=2:1,rh789,RH789 telescopic,handheld_bench,Handheld bench fixture,rh789:setting-6,setting 6,1.0920098542598429,1.3705023651539798,1.8701703087777022,100.0,100.0
t-band,T-band,broad <=3:1,rh789,RH789 telescopic,handheld_bench,Handheld bench fixture,rh789:setting-3,setting 3,1.367716408394086,1.6265760206684499,2.633032659385258,76.83079230192452,100.0
700-public-safety-downlink,700 MHz public safety,broad <=2:1,remtronix-920,Remtronix 920,handheld_bench,Handheld bench fixture,remtronix-920,BNC direct,1.7176590997205512,1.7739438105204273,1.8146715375778906,100.0,100.0
800-public-safety-downlink,800 MHz public safety,broad <=2:1,remtronix-920,Remtronix 920,handheld_bench,Handheld bench fixture,remtronix-920,BNC direct,1.1092756215855757,1.1718207902175006,1.3080970036379178,100.0,100.0
33cm,33cm amateur,broad <=2:1,remtronix-920,Remtronix 920,handheld_bench,Handheld bench fixture,remtronix-920,BNC direct,1.3820449860328483,1.7499773083665529,2.095907029756419,99.9000499750125,100.0
900-trunking-downlink,900 MHz trunking,broad <=3:1,remtronix-920,Remtronix 920,handheld_bench,Handheld bench fixture,remtronix-920,BNC direct,1.870243389016513,1.9911961374537155,2.0575964782966665,65.33466533466533,100.0
uat-978,UAT 978,broad <=3:1,uniden-sds150-stock,Uniden SDS150 stock rubber duck,handheld_bench,Handheld bench fixture,uniden-sds150-stock,stock with adapter,2.387408569808326,2.532434567971973,2.6823676343432727,0.0,100.0
ads-b-1090,ADS-B 1090,broad <=3:1,uniden-sds150-stock,Uniden SDS150 stock rubber duck,handheld_bench,Handheld bench fixture,uniden-sds150-stock,stock with adapter,2.472920452085307,2.5961115661579135,2.7728858402251,0.0,100.0
