family,family_label,measurement_context,configurations,retuned_score,fixed_score,fixed_configuration_label,usable_bands,excellent_bands,6m__efficiency,fm-broadcast__efficiency,civil-air__efficiency,2m__efficiency,vhf-lmr__efficiency,marine-vhf__efficiency,railroad__efficiency,noaa-weather__efficiency,1.25m__efficiency,military-air__efficiency,federal-uhf__efficiency,70cm__efficiency,uhf-lmr__efficiency,t-band__efficiency,700-public-safety-downlink__efficiency,800-public-safety-downlink__efficiency,33cm__efficiency,900-trunking-downlink__efficiency,uat-978__efficiency,ads-b-1090__efficiency,6m__median_swr,fm-broadcast__median_swr,civil-air__median_swr,2m__median_swr,vhf-lmr__median_swr,marine-vhf__median_swr,railroad__median_swr,noaa-weather__median_swr,1.25m__median_swr,military-air__median_swr,federal-uhf__median_swr,70cm__median_swr,uhf-lmr__median_swr,t-band__median_swr,700-public-safety-downlink__median_swr,800-public-safety-downlink__median_swr,33cm__median_swr,900-trunking-downlink__median_swr,uat-978__median_swr,ads-b-1090__median_swr,6m__best_setting,fm-broadcast__best_setting,civil-air__best_setting,2m__best_setting,vhf-lmr__best_setting,marine-vhf__best_setting,railroad__best_setting,noaa-weather__best_setting,1.25m__best_setting,military-air__best_setting,federal-uhf__best_setting,70cm__best_setting,uhf-lmr__best_setting,t-band__best_setting,700-public-safety-downlink__best_setting,800-public-safety-downlink__best_setting,33cm__best_setting,900-trunking-downlink__best_setting,uat-978__best_setting,ads-b-1090__best_setting
smiley-halfwave,Smiley 2m half-wave telescopic,handheld_bench,7,0.761858,0.657151,setting 5 (69 cm),11,6,0.071180,0.682700,0.818210,0.970796,0.907335,0.957902,0.988903,0.996163,0.879602,0.682956,0.775532,0.796774,0.785483,0.697683,0.643333,0.667998,0.944695,0.703921,0.570503,0.695482,55.8529,3.1570,2.2596,1.3912,1.8300,1.5197,1.2237,1.1318,2.0541,2.9635,2.8121,2.5620,2.6881,3.4471,3.9683,3.7210,1.5410,3.3956,4.8033,3.4629,setting 7 (fully extended),setting 2 (34.5 cm),setting 5 (69 cm),setting 6 (80 cm),setting 5 (69 cm),setting 5 (69 cm),setting 5 (69 cm),setting 5 (69 cm),setting 3 (46 cm),"setting 1 (collapsed, 22 cm)",setting 6 (80 cm),setting 3 (46 cm),setting 3 (46 cm),setting 5 (69 cm),setting 3 (46 cm),setting 5 (69 cm),setting 5 (69 cm),setting 5 (69 cm),setting 7 (fully extended),setting 5 (69 cm)
taurus-triband-vehicle,Taurus triband vehicle antenna,vehicle_installed,1,0.700604,0.700604,installed on vehicle,9,0,0.527922,0.370991,0.474515,0.622687,0.834165,0.791818,0.803323,0.823008,0.631174,0.634421,0.692936,0.753712,0.767133,0.824093,0.736136,0.833254,0.756646,0.737466,0.693223,0.703455,5.1265,8.7224,6.1714,4.1985,2.4955,2.6849,2.5953,2.4525,4.0689,4.1191,3.5833,2.9458,2.8525,2.4076,3.2760,2.1713,3.1368,3.2073,3.6019,3.4750,installed on vehicle,installed on vehicle,installed on vehicle,installed on vehicle,installed on vehicle,installed on vehicle,installed on vehicle,installed on vehicle,installed on vehicle,installed on vehicle,installed on vehicle,installed on vehicle,installed on vehicle,installed on vehicle,installed on vehicle,installed on vehicle,installed on vehicle,installed on vehicle,installed on vehicle,installed on vehicle
uniden-sds150-stock,Uniden SDS150 stock rubber duck,handheld_bench,2,0.543143,0.439624,bare SMA plane,5,1,0.016175,0.476563,0.391529,0.368344,0.509735,0.434932,0.474305,0.542707,0.055279,0.236764,0.894994,0.757544,0.852222,0.735502,0.532259,0.564592,0.676496,0.728216,0.811688,0.803004,245.0611,6.5665,7.2401,8.6985,6.3769,7.1492,6.3048,5.1668,70.3024,22.9519,1.8780,3.2147,2.1201,2.9427,5.3692,4.8234,3.6256,3.1761,2.5324,2.5961,bare SMA plane,stock with adapter,bare SMA plane,bare SMA plane,bare SMA plane,bare SMA plane,bare SMA plane,bare SMA plane,bare SMA plane,bare SMA plane,stock with adapter,stock with adapter,stock with adapter,bare SMA plane,bare SMA plane,bare SMA plane,stock with adapter,stock with adapter,stock with adapter,stock with adapter
comet-bnc-w100rx,Comet BNC-W100RX telescopic,handheld_bench,8,0.532602,0.441753,setting 3 (44 cm),0,0,0.321787,0.552574,0.714778,0.514646,0.417069,0.429287,0.431398,0.453922,0.639214,0.710520,0.631615,0.740282,0.729299,0.679539,0.530182,0.426033,0.421347,0.411974,0.404996,0.491570,10.3791,6.0995,3.0528,5.5440,8.6182,7.1191,7.1232,6.6570,4.0102,2.7855,4.1192,2.9934,3.1232,3.5466,5.3563,7.2347,7.3337,7.5753,7.7453,5.9702,"setting 8 (fully extended, 99.5 cm)",setting 6 (78 cm),setting 3 (44 cm),setting 3 (44 cm),setting 4 (56 cm),setting 4 (56 cm),setting 4 (56 cm),setting 4 (56 cm),"setting 8 (fully extended, 99.5 cm)","setting 1 (collapsed, 21 cm)",setting 6 (78 cm),setting 6 (78 cm),"setting 8 (fully extended, 99.5 cm)",setting 5 (67 cm),setting 3 (44 cm),"setting 1 (collapsed, 21 cm)",setting 4 (56 cm),setting 4 (56 cm),setting 6 (78 cm),"setting 1 (collapsed, 21 cm)"
rh789,RH789 telescopic,handheld_bench,6,0.531993,0.325901,setting 5,7,3,0.073294,0.608339,0.150999,0.570044,0.667863,0.827987,0.861362,0.830784,0.812371,0.505712,0.921690,0.666487,0.968855,0.923958,0.079953,0.000001,0.045424,0.216871,0.403678,0.504195,58.8200,4.2354,27.9976,4.7878,3.5883,2.3474,2.1835,2.3971,2.5399,6.3972,1.7359,3.7321,1.3705,1.6266,48.0679,11603.1017,75.2310,16.2904,7.7281,5.7635,setting 6,setting 2,setting 6,setting 6,setting 5,setting 5,setting 5,setting 5,setting 3,setting 2,setting 4,setting 4,setting 6,setting 3,setting 5,setting 3,setting 3,setting 4,setting 4,setting 1
diamond-rh77ca,Diamond RH77CA,handheld_bench,2,0.518066,0.491567,first mounting,3,1,0.050414,0.319773,0.841192,0.581295,0.690078,0.629052,0.608427,0.670740,0.671194,0.527605,0.969766,0.752318,0.575931,0.500225,0.374064,0.345019,0.313105,0.313004,0.323376,0.304745,77.6520,12.7748,2.1276,4.6220,4.1918,4.3573,4.3418,3.6988,3.6771,5.8866,1.3698,3.0702,4.7964,5.8569,8.5829,9.5106,10.6920,10.6850,10.2829,11.0240,second mounting,second mounting,first mounting,first mounting,first mounting,first mounting,first mounting,first mounting,second mounting,second mounting,second mounting,second mounting,second mounting,second mounting,first mounting,second mounting,second mounting,second mounting,first mounting,first mounting
signal-stick,Signal Stick (no counterpoise),handheld_bench,1,0.460997,0.460997,no counterpoise,1,0,0.050119,0.303922,0.671296,0.458759,0.648588,0.570275,0.619115,0.678609,0.289489,0.306603,0.779873,0.546042,0.426978,0.340542,0.404628,0.285532,0.387278,0.447886,0.545035,0.459371,78.3005,14.4632,3.9226,6.5358,3.8440,4.7974,4.2198,3.6264,11.6912,16.0741,2.7624,5.2770,7.2453,9.9790,7.7634,11.9264,8.1734,6.7814,5.1479,6.5476,no counterpoise,no counterpoise,no counterpoise,no counterpoise,no counterpoise,no counterpoise,no counterpoise,no counterpoise,no counterpoise,no counterpoise,no counterpoise,no counterpoise,no counterpoise,no counterpoise,no counterpoise,no counterpoise,no counterpoise,no counterpoise,no counterpoise,no counterpoise
anytone-atd890uv-38cm,AnyTone AT-D890UV OEM long whip,handheld_sma,1,0.454856,0.454856,SMA adapter plane,6,3,0.005385,0.313669,0.408562,0.669482,0.842491,0.839034,0.949573,0.973594,0.755013,0.653987,0.946676,0.731560,0.526818,0.372077,0.071322,0.037877,0.000000,0.000000,0.000000,0.000000,755.1068,14.9483,8.2562,3.7129,2.0945,2.3117,1.5320,1.3873,2.9839,4.1243,1.5643,3.2653,5.4734,8.7645,54.0885,105.1456,,,,,SMA adapter plane,SMA adapter plane,SMA adapter plane,SMA adapter plane,SMA adapter plane,SMA adapter plane,SMA adapter plane,SMA adapter plane,SMA adapter plane,SMA adapter plane,SMA adapter plane,SMA adapter plane,SMA adapter plane,SMA adapter plane,SMA adapter plane,SMA adapter plane,SMA adapter plane,SMA adapter plane,SMA adapter plane,SMA adapter plane
tid-td771,TID TD771,handheld_bench,1,0.452395,0.452395,with SMA-to-BNC adapter,1,1,0.000000,0.186330,0.466278,0.462877,0.314355,0.308655,0.301740,0.302208,0.986118,0.313850,0.744518,0.660647,0.221712,0.048276,0.431347,0.576678,0.627522,0.655516,0.692437,0.746836,,19.4146,6.3192,6.4766,11.1449,10.9663,11.1697,11.1521,1.2640,16.8283,2.9426,3.5932,17.2399,33.5888,7.1216,4.7285,4.1413,3.8382,3.4884,3.0164,with SMA-to-BNC adapter,with SMA-to-BNC adapter,with SMA-to-BNC adapter,with SMA-to-BNC adapter,with SMA-to-BNC adapter,with SMA-to-BNC adapter,with SMA-to-BNC adapter,with SMA-to-BNC adapter,with SMA-to-BNC adapter,with SMA-to-BNC adapter,with SMA-to-BNC adapter,with SMA-to-BNC adapter,with SMA-to-BNC adapter,with SMA-to-BNC adapter,with SMA-to-BNC adapter,with SMA-to-BNC adapter,with SMA-to-BNC adapter,with SMA-to-BNC adapter,with SMA-to-BNC adapter,with SMA-to-BNC adapter
diamond-srh320a,Diamond SRH320A,handheld_bench,1,0.445384,0.445384,with BNC-to-SMA adapter,7,3,0.020422,0.050667,0.268683,0.820027,0.853574,0.930236,0.875395,0.805723,0.968076,0.510936,0.965956,0.606018,0.362497,0.255449,0.203382,0.199486,0.140801,0.070358,0.000000,0.000000,196.5022,78.4013,13.3266,2.4563,2.4614,1.6386,2.0889,2.5775,1.4423,7.1944,1.3029,4.7096,8.9861,13.6602,17.6124,18.0065,26.3941,54.5650,,,with BNC-to-SMA adapter,with BNC-to-SMA adapter,with BNC-to-SMA adapter,with BNC-to-SMA adapter,with BNC-to-SMA adapter,with BNC-to-SMA adapter,with BNC-to-SMA adapter,with BNC-to-SMA adapter,with BNC-to-SMA adapter,with BNC-to-SMA adapter,with BNC-to-SMA adapter,with BNC-to-SMA adapter,with BNC-to-SMA adapter,with BNC-to-SMA adapter,with BNC-to-SMA adapter,with BNC-to-SMA adapter,with BNC-to-SMA adapter,with BNC-to-SMA adapter,with BNC-to-SMA adapter,with BNC-to-SMA adapter
