band,frequency_hz,frequency_mhz,swr,return_loss_db,resistance_ohm,reactance_ohm,s11_real,s11_imag,phase_deg
160m,1990060,1.990060,7.42676665,2.35336873,6.82745980,-5.88630224,-0.7410327085,-0.1803396591,-166.32223552
160m,1993715,1.993715,7.48775575,2.33396764,6.76680374,-5.72755110,-0.7438405782,-0.1759467747,-166.69195288
160m,1997370,1.997370,7.54393189,2.31638014,6.71151247,-5.56759390,-0.7464776315,-0.1714586294,-167.06409265
80m,3503230,3.503230,16.12305667,1.07883429,3.75376095,22.88351544,-0.5749146806,0.6704569835,130.61298126
80m,3506885,3.506885,16.13082442,1.07831344,3.75458719,22.92968255,-0.5739225893,0.6713761041,130.52531585
80m,3510540,3.510540,16.08130193,1.08164269,3.76847387,22.96984654,-0.5727926284,0.6718956801,130.44766902
80m,3514195,3.514195,16.07389198,1.08214261,3.77318556,23.02148832,-0.5716056589,0.6728390914,130.34932786
80m,3517850,3.517850,16.08773365,1.08120915,3.77264419,23.06853090,-0.5706212779,0.6737984719,130.26033951
80m,3521505,3.521505,16.11484265,1.07938561,3.76977247,23.12898425,-0.5693987537,0.6750744402,130.14631540
80m,3525160,3.525160,16.09386638,1.08079608,3.77718325,23.17200605,-0.5683383900,0.6757800327,130.06420209
80m,3528815,3.528815,16.09106237,1.08098490,3.78038076,23.21578518,-0.5673461617,0.6765882146,129.98117263
80m,3532470,3.532470,16.08340440,1.08150093,3.78518145,23.26735816,-0.5661561811,0.6775159220,129.88331953
80m,3536125,3.536125,16.09246569,1.08089039,3.78565884,23.31223389,-0.5651939954,0.6783995826,129.79864262
80m,3539780,3.539780,16.11981839,1.07905157,3.78286223,23.37469004,-0.5639224718,0.6796998433,129.68127155
80m,3543435,3.543435,16.09291185,1.08086035,3.79141009,23.41252607,-0.5629485793,0.6802679889,129.60909731
80m,3547090,3.547090,16.08202864,1.08159369,3.79664461,23.45798066,-0.5618782524,0.6810556699,129.52299793
80m,3550745,3.550745,16.08169565,1.08161614,3.79978115,23.51003732,-0.5607085172,0.6820160734,129.42478191
80m,3554400,3.554400,16.09201023,1.08092106,3.80035204,23.56121213,-0.5596074317,0.6830111726,129.32858473
80m,3558055,3.558055,16.10666466,1.07993506,3.80030083,23.61913548,-0.5583738640,0.6841493978,129.21987195
80m,3561710,3.561710,16.07647612,1.08196822,3.80948677,23.65358276,-0.5574593693,0.6846282376,129.15424528
80m,3565365,3.565365,16.08239657,1.08156888,3.81109214,23.70440837,-0.5563437328,0.6855874123,129.05880302
80m,3569020,3.569020,16.08308602,1.08152240,3.81388553,23.75423221,-0.5552256914,0.6864992531,128.96517999
80m,3572675,3.572675,16.09227412,1.08090329,3.81521777,23.81333272,-0.5539372897,0.6876201052,128.85444026
80m,3576330,3.576330,16.10698849,1.07991330,3.81485504,23.86588420,-0.5528208450,0.6886470741,128.75623061
80m,3579985,3.579985,16.08972426,1.08107503,3.82107209,23.90132804,-0.5519424040,0.6892000300,128.68931769
80m,3583640,3.583640,16.08135300,1.08163925,3.82619142,23.95356687,-0.5507257659,0.6900992313,128.59121534
80m,3587295,3.587295,16.08604709,1.08132280,3.82767435,23.99695605,-0.5497682805,0.6909033646,128.51010258
80m,3590950,3.590950,16.10588112,1.07998774,3.82664752,24.05853128,-0.5484687934,0.6921085860,128.39543837
80m,3594605,3.594605,16.08384519,1.08147122,3.83458371,24.10309340,-0.5473614096,0.6927925138,128.31155266
80m,3598260,3.598260,16.07601556,1.08199930,3.83895771,24.14455658,-0.5463886222,0.6934916494,128.23388951
80m,3601915,3.601915,16.06651710,1.08264063,3.84434829,24.19605776,-0.5451809101,0.6943586049,128.13749892
80m,3605570,3.605570,16.08171318,1.08161496,3.84332444,24.23923028,-0.5442737035,0.6952023543,128.05738070
80m,3609225,3.609225,16.09133918,1.08096626,3.84513080,24.30695349,-0.5427846810,0.6964491485,127.93142890
80m,3612880,3.612880,16.07230835,1.08224952,3.85194745,24.34399388,-0.5418595644,0.6970039447,127.86194029
80m,3616535,3.616535,16.07964454,1.08175447,3.85300706,24.39025499,-0.5408449448,0.6978552018,127.77605175
80m,3620190,3.620190,16.05940118,1.08312159,3.86103259,24.44191259,-0.5395825709,0.6986561677,127.67944389
80m,3623845,3.623845,16.07312903,1.08219411,3.86080467,24.49213936,-0.5385059819,0.6996052722,127.58649722
80m,3627500,3.627500,16.08288268,1.08153611,3.86206474,24.55092502,-0.5372164407,0.7006802608,127.47763395
80m,3631155,3.631155,16.07986521,1.08173959,3.86575237,24.59909118,-0.5361096620,0.7015014175,127.38821129
80m,3634810,3.634810,16.06733967,1.08258506,3.87124403,24.63919730,-0.5351427401,0.7021312675,127.31352893
80m,3638465,3.638465,16.06613297,1.08266658,3.87435212,24.68480752,-0.5341014288,0.7029132973,127.22901170
80m,3642120,3.642120,16.05619477,1.08333845,3.87998376,24.73695594,-0.5328719530,0.7037601595,127.13221684
80m,3645775,3.645775,16.06594328,1.08267940,3.88046454,24.78275269,-0.5318746938,0.7045980769,127.04778780
80m,3649430,3.649430,16.07051204,1.08237080,3.88343157,24.84830223,-0.5304043911,0.7057447853,126.92679124
80m,3653085,3.653085,16.06256286,1.08290784,3.88753723,24.88330449,-0.5295725549,0.7063009664,126.86194464
80m,3656740,3.656740,16.05250050,1.08358841,3.89303957,24.93233218,-0.5284118847,0.7070833843,126.77120263
80m,3660395,3.660395,16.05453871,1.08345049,3.89575983,24.98374062,-0.5272505745,0.7079672378,126.67648040
80m,3664050,3.664050,16.06066629,1.08303605,3.89754368,25.03598188,-0.5260879388,0.7088840673,126.58041680
80m,3667705,3.667705,16.06758884,1.08256823,3.89928775,25.09057974,-0.5248744996,0.7098421299,126.48012042
80m,3671360,3.671360,16.06291936,1.08288374,3.90274927,25.12755863,-0.5240108685,0.7104400606,126.41197778
80m,3675015,3.675015,16.05840205,1.08318915,3.90698384,25.17729664,-0.5228567353,0.7112513637,126.32043551
80m,3678670,3.678670,16.05898273,1.08314989,3.90999916,25.22729126,-0.5217188791,0.7120913742,126.22863804
80m,3682325,3.682325,16.03497037,1.08477612,3.91953598,25.28519812,-0.5202915533,0.7129303399,126.12170530
80m,3685980,3.685980,16.05509096,1.08341312,3.91770565,25.33393834,-0.5192676364,0.7138477456,126.03291871
80m,3689635,3.689635,16.04271405,1.08425115,3.92325433,25.37356830,-0.5183082634,0.7144394177,125.95996393
80m,3693290,3.693290,16.03842849,1.08454162,3.92766059,25.42623036,-0.5170865760,0.7152877082,125.86343423
80m,3696945,3.696945,16.05435564,1.08346287,3.92687088,25.47506017,-0.5160406428,0.7161777788,125.77456959
80m,3700600,3.700600,16.03580372,1.08471960,3.93522516,25.53446769,-0.5146014967,0.7170553726,125.66546658
80m,3704255,3.704255,16.05277321,1.08356996,3.93393777,25.57944127,-0.5136472542,0.7178828886,125.58382832
80m,3707910,3.707910,16.05556076,1.08338134,3.93593762,25.62127865,-0.5127023934,0.7185815477,125.50756466
80m,3711565,3.711565,16.03184888,1.08498788,3.94501035,25.67160009,-0.5114477880,0.7192747378,125.41512579
80m,3715220,3.715220,16.04982207,1.08376971,3.94377220,25.72109628,-0.5103931500,0.7201752130,125.32546401
80m,3718875,3.718875,16.04106261,1.08436306,3.94962697,25.77832635,-0.5090448658,0.7210550510,125.22103108
80m,3722530,3.722530,16.04137649,1.08434179,3.95210392,25.81779788,-0.5081422767,0.7216940518,125.14924327
80m,3726185,3.726185,16.03028981,1.08509368,3.95834140,25.87172131,-0.5068590683,0.7225025244,125.05091135
80m,3729840,3.729840,16.02577931,1.08539988,3.96255833,25.91940332,-0.5057470374,0.7232434111,124.96418514
80m,3733495,3.733495,16.03038979,1.08508689,3.96490229,25.97292516,-0.5045402399,0.7241245585,124.86719904
80m,3737150,3.737150,16.01601613,1.08606325,3.97217187,26.02961607,-0.5031785817,0.7249506554,124.76399921
80m,3740805,3.740805,16.04182753,1.08431122,3.96843803,26.07049009,-0.5023521853,0.7257400657,124.69071061
80m,3744460,3.744460,16.03190914,1.08498379,3.97407118,26.11892824,-0.5011984651,0.7264542795,124.60273736
80m,3748115,3.748115,16.02168954,1.08567766,3.97995007,26.16976734,-0.4999881647,0.7272022527,124.51048195
80m,3751770,3.751770,16.00541107,1.08678474,3.98763238,26.22481078,-0.4986552074,0.7279806042,124.41052699
80m,3755425,3.755425,16.01325335,1.08625112,3.98898784,26.27502409,-0.4975361160,0.7288115428,124.32009197
80m,3759080,3.759080,16.02694987,1.08532040,3.98823033,26.31529325,-0.4966698832,0.7295165378,124.24784018
80m,3762735,3.762735,16.01508866,1.08612631,3.99453352,26.36579767,-0.4954594214,0.7302402292,124.15643155
80m,3766390,3.766390,16.00988032,1.08648057,3.99925211,26.41729193,-0.4942543463,0.7310129629,124.06351227
80m,3770045,3.770045,15.99164882,1.08772247,4.00762058,26.47437214,-0.4928653499,0.7317980760,123.96023122
80m,3773700,3.773700,16.00653277,1.08670839,4.00693144,26.52008704,-0.4918779479,0.7325862065,123.87846637
80m,3777355,3.777355,16.01361928,1.08622623,4.00821927,26.56603247,-0.4908517542,0.7333331230,123.79611621
80m,3781010,3.781010,15.99626952,1.08740744,4.01589547,26.61564389,-0.4896377514,0.7340000119,123.70651510
80m,3784665,3.784665,16.03282334,1.08492176,4.01010061,26.66620953,-0.4886288683,0.7349752892,123.61689500
